time,throttle,brake,steering,speed,ttc
5.514924,0,0,1.69605,7.897615,0
5.539294,0,0,1.97055,7.891972,0
5.563621,0,0,2.1492,7.839064,0
5.58799,0,0,2.34135,7.843157,0
5.612319,0,0,2.4237,7.797065,0
5.636725,0,0,2.43765,7.813081,0
5.661067,0,0,2.43765,7.749881,0
5.685464,0,0,2.45115,7.783571,0
5.709815,0,0,2.5065,7.709075,0
5.734199,0,0,2.5614,7.724131,0
5.758539,0,0,2.60235,7.671407,0
5.782957,0,0,2.6163,7.66423,0
5.807302,0,0,2.6298,7.620071,0
5.831724,0,0,2.6298,7.588377,0
5.856063,0,0,2.6298,7.577169,0
5.880427,0,0,2.6298,7.528982,0
5.904732,0,0,2.6298,7.526983,0
5.9291,0,0,2.6298,7.457395,0
5.953393,0,0,2.6298,7.507057,0
5.977745,0,0,2.6298,7.440991,0
6.002045,0,0,2.6298,7.427848,0
6.026344,0,0,2.6298,7.399435,0
6.050603,0,0,2.6298,7.359833,0
6.074877,0,0,2.6298,7.368689,0
6.09912,0,0,2.6298,7.317603,0
6.123399,0,0,2.6298,7.312005,0
6.147593,0,0,2.6298,7.270597,0
6.171846,0,0,2.6298,7.241417,0
6.196037,0,0,2.60235,7.277159,0
6.220234,0,0,2.60235,7.201773,0
6.244366,0,0,2.60235,7.16024,0
6.268573,0,0,2.60235,7.173231,0
6.292698,0,0,2.60235,7.122003,0
6.316904,0,0,2.60235,7.10152,0
6.341025,0,0,2.60235,7.086821,0
6.365168,0,0,2.60235,7.040907,0
6.389247,0,0,2.60235,7.042237,0
6.41335,0,0,2.60235,7.007835,0
6.437423,0,0,2.60235,6.960976,0
6.461493,0,0,2.60235,6.95717,0
6.486464,0,0,2.60235,6.946412,0
6.511046,0,0,2.60235,6.882877,0
6.535222,0,0,2.60235,6.855804,0
6.559358,0,0,2.60235,6.873997,0
6.58343,0,0,2.60235,6.804679,0
6.607587,0,0,2.60235,6.753212,0
6.631632,0,0,2.60235,6.790594,0
6.655706,0,0,2.60235,6.712984,0
6.679734,0,0,2.60235,6.644582,0
6.703831,0,0,2.60235,6.647139,0
6.727809,0,0,2.60235,6.670611,0
6.751813,0,0,2.60235,6.59095,0
6.775744,0,0,2.60235,6.522941,0
6.799741,0,0,2.60235,6.513691,0
6.82361,0,0,2.60235,6.536658,0
6.84753,0,0,2.60235,6.480255,0
6.871387,0,0,2.60235,6.424888,0
6.895323,0,0,2.60235,6.360191,0
6.919115,0,0,2.60235,6.376453,0
